"","iid","id","gender","wave","order","partner","pid","match","samerace","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sportsAct","tvsportsAct","exerciseAct","diningAct","museumsAct","artAct","hikingAct","gamingAct","clubbingAct","readingAct","tvAct","theaterAct","moviesAct","concertsAct","musicAct","shoppingAct","yogaAct","exphappy","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","dec","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","prob","met"
"46",5,5,0,1,3,6,16,0,1,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,1,5,6,7,5,7,8,7,3,2
"47",5,5,0,1,8,7,17,0,1,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,1,6,6,8,5,5,6,6,3,2
"48",5,5,0,1,9,8,18,0,1,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,1,5,5,7,6,7,5,6,4,2
"49",5,5,0,1,5,9,19,1,1,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,1,7,5,7,8,7,9,9,4,2
"50",5,5,0,1,6,10,20,0,1,21,1,25,2,8,1,86,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,1,9,6,7,9,6,5,10,3,2
"51",6,6,0,1,5,1,11,0,0,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,1,6,9,7,6,7,6,6,6,2
"52",6,6,0,1,4,2,12,0,0,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,1,6,9,9,6,8,2,7,6,2
"53",6,6,0,1,1,3,13,0,1,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,0,4,7,9,4,3,2,6,2,1
"54",6,6,0,1,6,4,14,1,0,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,1,8,6,7,8,2,8,9,4,2
"55",6,6,0,1,8,5,15,0,0,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,0,5,4,8,8,4,2,4,3,1
"56",6,6,0,1,7,6,16,0,0,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,0,3,7,6,1,1,1,2,2,2
"57",6,6,0,1,2,7,17,0,0,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,1,8,8,8,8,3,4,8,7,2
"58",6,6,0,1,3,8,18,0,0,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,0,4,8,9,2,8,3,5,5,2
"59",6,6,0,1,9,9,19,1,0,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,1,7,6,8,8,6,9,9,6,2
"60",6,6,0,1,10,10,20,0,0,23,1,25,4,1,1,60,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,1,8,9,9,9,10,7,9,8,2
"61",7,7,0,1,2,1,11,0,0,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,0,4,8,8,5,7,4,7,4,2
"62",7,7,0,1,1,2,12,0,0,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,0,6,6,8,4,9,4,7,3,1
"63",7,7,0,1,8,3,13,0,1,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,0,3,6,8,7,8,8,7,8,1
"64",7,7,0,1,3,4,14,1,0,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,1,7,8,8,7,7,6,8,6,1
"65",7,7,0,1,5,5,15,0,0,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,0,4,7,7,4,8,5,5,6,1
"66",7,7,0,1,4,6,16,0,0,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,0,4,8,7,4,5,4,5,5,2
"67",7,7,0,1,9,7,17,0,0,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,1,7,7,8,7,7,7,8,7,2
"68",7,7,0,1,10,8,18,0,0,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,0,5,7,8,5,9,5,5,7,2
"69",7,7,0,1,6,9,19,1,0,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,1,6,6,8,8,8,6,6,6,2
"70",7,7,0,1,7,10,20,0,0,22,1,25,4,2,4,54,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,1,8,6,7,7,8,6,7,5,2
"71",8,8,0,1,7,1,11,0,1,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,7,4,7,5,4,5,2
"72",8,8,0,1,6,2,12,1,1,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,8,7,7,9,6,7,8,7,2
"73",8,8,0,1,3,3,13,1,0,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,8,6,7,7,5,5,2
"74",8,8,0,1,8,4,14,1,1,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,8,6,5,6,6,5,5,6,2
"75",8,8,0,1,10,5,15,1,0,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,6,8,8,5,6,7,6,5,2
"76",8,8,0,1,9,6,16,1,1,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,6,8,8,5,6,7,6,5,2
"77",8,8,0,1,4,7,17,0,1,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,6,7,8,5,7,7,6,6,2
"78",8,8,0,1,5,8,18,1,1,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,5,6,7,4,5,6,5,4,2
"79",8,8,0,1,1,9,19,1,1,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,8,8,5,9,8,9,7,10,2
"80",8,8,0,1,2,10,20,1,1,25,13,25,2,1,1,42,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,1,7,6,8,7,9,8,8,7,2
"81",9,9,0,1,8,1,11,0,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,8,10,9,8,7,6,5,5,2
"82",9,9,0,1,7,2,12,1,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,10,10,10,10,10,10,10,5,2
"83",9,9,0,1,4,3,13,1,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,5,10,10,6,6,6,8,5,2
"84",9,9,0,1,9,4,14,1,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,10,9,8,8,7,7,7,5,2
"85",9,9,0,1,1,5,15,1,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,5,10,8,8,5,5,5,5,2
"86",9,9,0,1,10,6,16,1,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,8,9,9,7,6,5,6,5,2
"87",9,9,0,1,5,7,17,1,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,6,8,9,6,6,6,7,5,2
"88",9,9,0,1,6,8,18,0,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,6,7,8,7,9,6,7,5,2
"89",9,9,0,1,2,9,19,1,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,8,5,5,6,5,5,7,6,2
"90",9,9,0,1,3,10,20,0,0,26,13,25,6,1,1,42,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,1,7,8,7,8,7,8,8,5,2
"91",10,10,0,1,9,1,11,0,1,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,0,6,10,10,6,6,6,6,3,2
"92",10,10,0,1,8,2,12,0,1,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,0,1,1,1,1,1,6,1,1,1
"93",10,10,0,1,5,3,13,1,0,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,1,6,10,10,10,6,6,7,6,2
"94",10,10,0,1,10,4,14,0,1,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,0,10,10,10,10,10,6,10,1,1
"95",10,10,0,1,2,5,15,0,0,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,0,5,7,7,7,7,6,6,1,2
"96",10,10,0,1,1,6,16,0,1,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,0,5,10,6,4,6,6,6,1,2
"97",10,10,0,1,6,7,17,0,1,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,1,5,10,8,6,9,6,7,1,2
"98",10,10,0,1,7,8,18,0,1,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,0,5,6,6,4,5,6,5,5,2
"99",10,10,0,1,3,9,19,1,1,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,1,9,9,9,9,9,9,9,9,2
"100",10,10,0,1,4,10,20,0,1,26,13,25,2,4,4,48,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,1,9,9,8,10,8,8,9,10,2
"101",11,1,1,1,4,1,1,0,0,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2
"102",11,1,1,1,10,2,2,0,1,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2
"103",11,1,1,1,6,3,3,0,1,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1
"104",11,1,1,1,3,4,4,0,1,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2
"105",11,1,1,1,1,5,5,0,1,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,2
"106",11,1,1,1,5,6,6,0,0,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,7,9,8,9,8,4,7,4,2
"107",11,1,1,1,2,7,7,0,0,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,7,8,8,8,7,7,7,4,2
"108",11,1,1,1,7,8,8,0,1,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,8,7,6,6,6,5,7,4,2
"109",11,1,1,1,8,9,9,0,0,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,6,8,7,8,7,5,6,4,2
"110",11,1,1,1,9,10,10,0,1,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,7,8,7,8,6,5,6,3,2
"111",12,2,1,1,3,1,1,0,0,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2
"112",12,2,1,1,9,2,2,0,1,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2
"113",12,2,1,1,5,3,3,0,1,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2
"114",12,2,1,1,2,4,4,0,1,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1
"115",12,2,1,1,10,5,5,0,1,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,1
"116",12,2,1,1,4,6,6,0,0,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,0,6,8,10,6,7,6,7,4,2
"117",12,2,1,1,1,7,7,0,0,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,1,7,9,10,6,6,5,8,4,1
"118",12,2,1,1,6,8,8,1,1,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,1,8,8,10,7,6,5,9,4,2
"119",12,2,1,1,7,9,9,1,0,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,1,8,8,10,7,6,5,8,4,2
"120",12,2,1,1,8,10,10,0,1,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,0,1,1,1,1,1,1,1,1,2
