"","match","decM","decW","raterDecAvgW","decAvgM","avgWaveDecW","raterDecAvgM","decAvgW","avgWaveDecM","funAvgRatingM","attrAvgRatingW","ageM","exphappyW","shoppingWealthIndW","goalMeetNewM_goalFunNightWCross","goalMeetNewM_goalMeetNewWCross","goalFunNightM_goalMeetNewWCross","goalFunNightM_goalFunNightWCross","sharPrefW","datesCrossProbDecW","raceAsianM_raceWhiteWCross","fieldsCrossProbMatch","goalsCrossProbMatch","careerAcademicM","racesCrossProbMatch","careerFinanceW","impraceW","impraceM","dateW","probAvgRatingM","probAvgRatingW","impreligW","raceAsianW","careersManProbDecW","careersWomanProbDecW","baselineDecMGuess","baselineDecWGuess","betterDecMGuess","betterDecWGuess","baselineMatchGuess","betterMatchGuess"
"18",0,0,0,0.5625,0.25,0.3203125,0.625,0.0625,0.5390625,6.8125,4.75,23,6,6,0,1,0,0,18.75,0.25,0,0,0.0909090909090909,1,0.141287284144427,0,6,1,7,4.625,4.4375,2,0,0.277519379844961,0.344827586206897,0.167925029663458,0.44343463796599,0.0808448239606194,0.523678285157889,0.105817940535162,0.0589631004215333
"19",0,0,1,0.5,0.125,0.31640625,0.625,0.0625,0.5390625,6.3125,4.6875,23,6,6,0,0,1,0,18.75,0.275510204081633,1,0,0.169381107491857,0,0.12,0,6,1,7,5.5,4.5,2,0,0.419354838709677,0.344827586206897,0.167925029663458,0.241509910263311,0.087317040547349,0.201295821830746,0.0617359244789679,0.0351257250502651
"20",0,0,1,0.5,0.8125,0.31640625,0.375,0.0625,0.54296875,7.6875,4.625,28,6,6,0,1,0,0,18.75,0.25,0,0,0.0909090909090909,1,0.141287284144427,0,6,2,7,5.875,4.125,2,0,0.277519379844961,0.344827586206897,0.0535763636668184,0.908085028042629,0.018241179225698,0.866258402144473,0.291798622673762,0.106961168319221
"21",0,0,0,0.5625,0,0.3203125,0.875,0.0625,0.54296875,5.0625,4.8125,28,6,6,0,0,1,0,18.75,0.26027397260274,1,0,0.169381107491857,0,0.12,0,6,2,7,4.9375,4.3125,2,0,0.23943661971831,0.344827586206897,0.405892048385726,0.186117643237278,0.32882193107953,0.114415942253221,0.0695722768137115,0.0485381943915759
"22",0,0,1,0.5,0.25,0.31640625,0.9375,0.125,0.54296875,6,4.75,29,6,6,0,0,1,0,18.75,0.275510204081633,0,0.0833333333333333,0.169381107491857,0,0.141287284144427,0,6,1,7,5.8125,4.3125,2,0,0.268333333333333,0.344827586206897,0.556937316449013,0.373474206905245,0.456491126008279,0.329628634974782,0.14404075023532,0.109752845969182
"23",0,0,1,0.5,0.4375,0.31640625,0.625,0.0625,0.54296875,7.625,4.75,27,6,6,0,0,1,0,18.75,0.414634146341463,0,0.0833333333333333,0.169381107491857,0,0.141287284144427,0,6,5,7,6.375,4.375,2,0,0.268333333333333,0.344827586206897,0.164106387164526,0.603300621296503,0.125914663912599,0.764259161477079,0.149070161005541,0.187923437982694
"24",0,0,0,0.625,0.375,0.3203125,0.5,0.0625,0.54296875,7.4375,4.75,22,6,6,0,0,1,0,18.75,0.275510204081633,0,0.209430584957905,0.169381107491857,1,0.141287284144427,0,6,5,7,6,4.5625,2,0,0.277519379844961,0.344827586206897,0.0953518322985576,0.670307207196768,0.0819384276376142,0.771703792569085,0.152627343083902,0.215897677728217
"25",0,0,0,0.5625,0.125,0.3203125,0.625,0.0625,0.5390625,5.8125,4.625,28,6,6,0,0,1,0,18.75,0.25,0,0,0.169381107491857,1,0.141287284144427,0,6,7,7,4.9375,4.4375,2,0,0.277519379844961,0.344827586206897,0.167925029663458,0.299119275085472,0.0864107350347633,0.311223591864656,0.073841394385415,0.0566065578141246
"26",0,0,0,0.625,0.25,0.3203125,0.5,0.0625,0.5390625,7.875,4.8125,29,6,6,0,1,0,0,18.75,0.26027397260274,0,0.0833333333333333,0.0909090909090909,0,0.180327868852459,0,6,3,7,5.6875,4.375,2,0,0.5,0.344827586206897,0.0977574303345603,0.520796227605689,0.0418029923496364,0.743793169979998,0.108994251881184,0.0731863427627258
"27",0,0,1,0.5625,0.625,0.31640625,0.1875,0.0625,0.54296875,7.6875,4.75,22,6,6,0,1,0,0,18.75,0.275510204081633,0,0,0.0909090909090909,0,0.141287284144427,0,6,6,7,4.9375,4.375,2,0,0.419354838709677,0.344827586206897,0.0218025023884455,0.840658378623255,0.00577477707900618,0.853042190240642,0.176992901891213,0.0506792889623597
"28",0,0,0,0.5625,0.25,0.3203125,0.375,0.0625,0.54296875,5.8125,4.875,27,6,6,0,1,0,0,18.75,0.25,1,0,0.0909090909090909,0,0.12,0,6,1,7,4.5625,4.5625,2,0,0.23943661971831,0.344827586206897,0.0535763636668184,0.44343463796599,0.0350398053956313,0.368712073360082,0.0771504071870586,0.0353024492162601
"29",0,0,1,0.5,0.4375,0.3203125,0.4375,0.0625,0.54296875,7.25,4.75,26,6,6,0,0,0,0,18.75,0.414634146341463,0,0.133974596215561,0.161290322580645,1,0.141287284144427,0,6,1,7,5.6875,4.4375,2,0,0.277519379844961,0.344827586206897,0.0717037062705935,0.596494828873514,0.0638194118728346,0.787219786723453,0.118504086537916,0.177705753245776
"30",0,0,1,0.5,0.3125,0.31640625,0.3125,0.0625,0.5390625,7.125,4.875,27,6,6,0,0,1,0,18.75,0.25,0,0.0645856533065147,0.169381107491857,1,0.141287284144427,0,6,1,7,5.8125,4.4375,2,0,0.277519379844961,0.344827586206897,0.0409052069952351,0.448986584144271,0.0333170747671949,0.59522016684173,0.0722772963134554,0.102185766331291
"31",0,0,1,0.5,0.25,0.31640625,0.4375,0.0625,0.5390625,5.3125,4.6875,30,6,6,0,0,0,0,18.75,0.25,0,0.133974596215561,0.11864406779661,0,0.141287284144427,0,6,4,7,4.3125,4.5,2,0,0.298245614035088,0.344827586206897,0.0735612298250657,0.373474206905245,0.0558781818665753,0.355961305538332,0.0704059203838803,0.0501989783351433
"32",0,0,1,0.5,0.25,0.31640625,0.5,0.0625,0.5390625,6.25,4.875,26,6,6,0,0,0,0,18.75,0.26027397260274,0,0.0833333333333333,0.1,0,0.0986121811340027,0,6,1,7,5.125,4.5,2,0,0.268333333333333,0.344827586206897,0.0977574303345603,0.373474206905245,0.0816282751042467,0.374022679088887,0.0761514213481774,0.0521847128146885
"33",0,1,0,0.1875,0,0.3203125,1,0.3125,0.5390625,4.375,6.625,23,5,7,0,0,0,0,16,0.271929824561404,0,0.208791208791209,0.0333333333333333,1,0.141287284144427,0,5,3,5,4.4375,5.4375,2,0,0.277519379844961,0.311475409836066,0.808878886267881,0.0346185764973477,0.881830243050859,0.0197849136761719,0.0424669346261209,0.0268055651249833
"34",0,0,0,0.1875,0.25,0.3203125,0.6875,0.4375,0.54296875,6.8125,7.0625,23,5,7,1,0,0,0,16,0.271929824561404,0,0.208791208791209,0.146757679180887,1,0.141287284144427,0,5,1,5,4.5,6.0625,2,0,0.277519379844961,0.311475409836066,0.613685333248818,0.111002566112993,0.701490350788125,0.202945359023121,0.0756236640380856,0.149297891166353
"35",0,1,0,0.1875,0.1875,0.32421875,0.5625,0.3125,0.53515625,6.5,6.625,23,5,7,0,0,0,1,16,0.290697674418605,1,0.208791208791209,0.182584269662921,0,0.12,0,5,1,5,5.3125,5.75,2,0,0.419354838709677,0.311475409836066,0.330944340073201,0.0816290180307297,0.392461586019522,0.0932826086569688,0.042342670640545,0.0579650326708416
"36",0,0,1,0.125,0.8125,0.3203125,0.4375,0.375,0.54296875,7.625,6.8125,28,5,7,1,0,0,0,16,0.271929824561404,0,0.208791208791209,0.146757679180887,1,0.141287284144427,0,5,2,5,5.5625,5.4375,2,0,0.277519379844961,0.311475409836066,0.254047447565338,0.600036538039164,0.274936821084024,0.600653237904732,0.199103601749976,0.238125988843075
"37",0,0,0,0.25,0,0.3203125,0.875,0.375,0.5390625,5,6.875,28,5,7,0,0,0,1,16,0.338235294117647,1,0.208791208791209,0.182584269662921,0,0.12,0,5,2,5,4.875,5.5625,2,0,0.23943661971831,0.311475409836066,0.75595718555786,0.0465481402271934,0.88553795823768,0.0418231293875764,0.0494933725609795,0.0870649646582248
"38",0,1,0,0.1875,0.375,0.32421875,0.875,0.375,0.53515625,6.0625,6.625,29,5,7,0,0,0,1,16,0.290697674418605,0,0.128205128205128,0.182584269662921,0,0.141287284144427,0,5,1,5,5.4375,5.5,2,0,0.268333333333333,0.311475409836066,0.758922143176916,0.184751907525253,0.769208142448654,0.142758812854177,0.121881935088954,0.106604248856316
"39",0,0,0,0.1875,0.5,0.32421875,0.5625,0.4375,0.54296875,7.625,7,27,5,7,0,0,0,1,16,0.418604651162791,0,0.128205128205128,0.182584269662921,0,0.141287284144427,0,5,5,5,6.25,5.75,2,0,0.268333333333333,0.311475409836066,0.460226768401623,0.29740645788527,0.517210748734889,0.432624942595864,0.130824815469093,0.178244552216271
"40",0,0,0,0.1875,0.375,0.32421875,0.5,0.375,0.5390625,7.4375,7.0625,22,5,7,0,0,0,1,16,0.290697674418605,0,0.197172963833429,0.182584269662921,1,0.141287284144427,0,5,5,5,5.8125,5.6875,2,0,0.277519379844961,0.311475409836066,0.323205202258082,0.184751907525253,0.427161892344771,0.266282139448443,0.0763900010244413,0.138695978768199
"41",0,1,0,0.1875,0.125,0.32421875,0.5625,0.3125,0.5390625,5.6875,6.8125,28,5,7,0,0,0,1,16,0.271929824561404,0,0.208791208791209,0.182584269662921,1,0.141287284144427,0,5,7,5,4.875,5.4375,2,0,0.277519379844961,0.311475409836066,0.324844155804824,0.0610926455620786,0.458161857899832,0.0865128072046978,0.034736678304227,0.0704786073369444
"42",0,0,0,0.1875,0.25,0.32421875,0.5,0.4375,0.5390625,8,6.9375,29,5,7,1,0,0,0,16,0.338235294117647,0,0.128205128205128,0.146757679180887,0,0.180327868852459,0,5,3,5,5.5625,5.6875,2,0,0.5,0.311475409836066,0.391140614666726,0.108273640001934,0.352399767653983,0.333801813895643,0.0595895932874606,0.100354399459641
"43",0,0,1,0.1875,0.625,0.31640625,0.25,0.4375,0.5390625,7.5625,6.9375,22,5,7,1,0,0,0,16,0.290697674418605,0,0.208791208791209,0.146757679180887,0,0.141287284144427,0,5,6,5,4.9375,5.75,2,0,0.419354838709677,0.311475409836066,0.156538090036542,0.452597364940161,0.133580409680597,0.554623382729279,0.131001948954679,0.122875592681872
"44",1,1,1,0.125,0.1875,0.31640625,0.375,0.375,0.5390625,5.6875,6.75,27,5,7,1,0,0,0,16,0.271929824561404,1,0.208791208791209,0.146757679180887,0,0.12,0,5,1,5,4.125,5.5625,2,0,0.23943661971831,0.311475409836066,0.202874637813127,0.0635352569513092,0.338652048610985,0.0817525671129291,0.0301888683171154,0.0599816479071454
"45",0,0,0,0.1875,0.5625,0.32421875,0.375,0.375,0.54296875,7.25,6.6875,26,5,7,0,0,0,0,16,0.418604651162791,0,0.127234997264441,0.0333333333333333,1,0.141287284144427,0,5,1,5,5.5625,5.5625,2,0,0.277519379844961,0.311475409836066,0.199788249123884,0.366641290361574,0.241940891453654,0.443435475627173,0.111250533342241,0.0933179951506459
"46",0,0,0,0.1875,0.375,0.3203125,0.3125,0.375,0.5390625,7.0625,6.875,27,5,7,0,0,0,1,16,0.271929824561404,0,0.0942889533631601,0.182584269662921,1,0.141287284144427,0,5,1,5,6.0625,5.625,2,0,0.277519379844961,0.311475409836066,0.158350993347322,0.188990777948038,0.207485905672366,0.250990353628291,0.0608905537376453,0.0867946971310753
"47",0,0,0,0.25,0.25,0.3203125,0.4375,0.375,0.54296875,5.625,6.8125,30,5,7,0,0,0,0,16,0.271929824561404,0,0.131578947368421,0.26,0,0.141287284144427,0,5,4,5,4.1875,5.75,2,0,0.298245614035088,0.311475409836066,0.254047447565338,0.145278602742697,0.305306821056187,0.24418178763704,0.0590772902640625,0.108600933889462
"48",0,1,0,0.1875,0.25,0.3203125,0.5,0.3125,0.53515625,6.0625,6.875,26,5,7,0,0,0,0,16,0.338235294117647,0,0.128205128205128,0.121951219512195,0,0.161474508437579,0,5,1,5,5,5.6875,2,0,0.268333333333333,0.311475409836066,0.265931220874074,0.111002566112993,0.402839860802918,0.172052384388113,0.047613966049542,0.0635920994320209
"49",0,1,0,0.375,0,0.32421875,1,0.25,0.53515625,4.25,5.25,23,5,9,0,0,0,0,18.18,0.25,0,0.208791208791209,0.161290322580645,1,0.141287284144427,0,9,3,7,4.5625,4.9375,7,0,0.277519379844961,0.311475409836066,0.763604400181548,0.080885975805724,0.743322041582085,0.0452047362045606,0.0666729273297298,0.0366717813322427
"50",0,0,0,0.375,0.3125,0.3203125,0.6875,0.375,0.54296875,6.625,5.5625,23,5,9,0,1,0,0,18.18,0.25,0,0.208791208791209,0.0909090909090909,1,0.141287284144427,0,9,1,7,4.9375,4.9375,7,0,0.277519379844961,0.311475409836066,0.541427087979807,0.300883284514454,0.456942372441015,0.310937836887707,0.138433186425474,0.082928199147896
"51",0,1,0,0.3125,0.1875,0.3203125,0.5625,0.25,0.53515625,6.3125,5.4375,23,5,9,0,0,1,0,18.18,0.275510204081633,1,0.208791208791209,0.169381107491857,0,0.12,0,9,1,7,5.875,4.875,7,0,0.419354838709677,0.311475409836066,0.268388174652471,0.144861786318887,0.246771779830124,0.128678979262896,0.0555898524951873,0.0438149822063545
"52",0,0,0,0.3125,0.875,0.3203125,0.375,0.3125,0.5390625,7.8125,5.375,28,5,9,0,1,0,0,18.18,0.25,0,0.208791208791209,0.0909090909090909,1,0.141287284144427,0,9,2,7,6.0625,4.625,7,0,0.277519379844961,0.311475409836066,0.160196336371829,0.84300404098341,0.0967333272721731,0.789672473274577,0.312631650801888,0.153985018889982
"53",0,1,0,0.3125,0,0.3203125,0.8125,0.25,0.5390625,5.0625,5.625,28,5,9,0,0,1,0,18.18,0.26027397260274,1,0.208791208791209,0.169381107491857,0,0.12,0,9,2,7,5,5.125,7,0,0.23943661971831,0.311475409836066,0.553083962422162,0.0623256888135343,0.647315446615567,0.0464384334147312,0.0433524643009668,0.0526206977955859
"54",0,1,0,0.375,0.3125,0.3203125,0.875,0.25,0.53515625,6.0625,5.375,29,5,9,0,0,1,0,18.18,0.275510204081633,0,0.128205128205128,0.169381107491857,0,0.141287284144427,0,9,1,7,5.8125,5.0625,7,0,0.268333333333333,0.311475409836066,0.634437417387699,0.300883284514454,0.571029225756199,0.230716973464249,0.140430031785732,0.0894305634927965
"55",0,0,1,0.25,0.4375,0.3203125,0.625,0.3125,0.5390625,7.8125,5.6875,27,5,9,0,0,1,0,18.18,0.414634146341463,0,0.128205128205128,0.169381107491857,0,0.141287284144427,0,9,5,7,6.3125,4.9375,7,0,0.268333333333333,0.311475409836066,0.397940880542783,0.300752646628881,0.366729312889596,0.467598573595834,0.114913747301324,0.144459150234085
"56",0,0,1,0.25,0.3125,0.3203125,0.5,0.3125,0.5390625,7.0625,5.3125,22,5,9,0,0,1,0,18.18,0.275510204081633,0,0.17084380241115,0.169381107491857,1,0.141287284144427,0,9,5,7,5.8125,5.0625,7,0,0.277519379844961,0.311475409836066,0.261996722497629,0.187128939686502,0.210563790759249,0.232653315753209,0.068785141335895,0.072793482129642
"57",0,1,0,0.375,0.125,0.3203125,0.5,0.25,0.5390625,5.625,5.3125,28,5,9,0,0,1,0,18.18,0.25,0,0.208791208791209,0.169381107491857,1,0.141287284144427,0,9,7,7,5.25,5.125,7,0,0.277519379844961,0.311475409836066,0.207119834215304,0.144464544293151,0.200899234534686,0.165237121151394,0.0511209079762617,0.0575289497631257
"58",0,0,0,0.3125,0.25,0.3203125,0.5,0.375,0.54296875,8,5.5625,29,5,9,0,1,0,0,18.18,0.26027397260274,0,0.128205128205128,0.0909090909090909,0,0.180327868852459,0,9,3,7,6.0625,5.0625,7,0,0.5,0.311475409836066,0.317210157912585,0.187909979298585,0.166321008599637,0.348337119736555,0.0771624218499832,0.0435125499913611
"59",0,0,1,0.3125,0.6875,0.31640625,0.1875,0.3125,0.54296875,7.6875,5.375,22,5,9,0,1,0,0,18.18,0.275510204081633,0,0.208791208791209,0.0909090909090909,0,0.141287284144427,0,9,6,7,5.125,5.125,7,0,0.419354838709677,0.311475409836066,0.0681104150052612,0.676964791955069,0.0304223727998304,0.698101002326186,0.162645560704784,0.0607757559070673
"60",0,0,0,0.375,0.25,0.32421875,0.375,0.3125,0.54296875,5.9375,5.5,27,5,9,0,1,0,0,18.18,0.25,1,0.208791208791209,0.0909090909090909,0,0.12,0,9,1,7,4.5625,5.25,7,0,0.23943661971831,0.311475409836066,0.156523776188727,0.234532147242981,0.163461636093405,0.205759851033476,0.0699876663451879,0.0481274074549476
"61",0,0,1,0.3125,0.5,0.3203125,0.4375,0.3125,0.54296875,7.3125,5.3125,26,5,9,0,0,0,0,18.18,0.414634146341463,0,0.133974596215561,0.161290322580645,1,0.141287284144427,0,9,1,7,5.75,5.25,7,0,0.277519379844961,0.311475409836066,0.202013145171281,0.444519023445048,0.154190857702322,0.577664026224102,0.129573165405576,0.125155027737217
"62",0,0,1,0.25,0.375,0.31640625,0.3125,0.3125,0.5390625,6.625,5.5625,27,5,9,0,0,1,0,18.18,0.25,0,0.0645856533065147,0.169381107491857,1,0.141287284144427,0,9,1,7,6,5.0625,7,0,0.277519379844961,0.311475409836066,0.122676099610523,0.244680614911202,0.0969907179216982,0.241387642528355,0.0658882454078498,0.0490352276888922
"63",0,0,0,0.3125,0.25,0.3203125,0.4375,0.3125,0.54296875,5.5,5.3125,30,5,9,0,0,0,0,18.18,0.25,0,0.131578947368421,0.11864406779661,0,0.141287284144427,0,9,4,7,4.3125,5.1875,7,0,0.298245614035088,0.311475409836066,0.202013145171281,0.187909979298585,0.138647860227223,0.157906036232976,0.0633239692548153,0.0324299828773471
"64",0,0,0,0.3125,0.25,0.3203125,0.5625,0.3125,0.54296875,6.3125,5.5,26,5,9,0,0,0,0,18.18,0.26027397260274,0,0.128205128205128,0.1,0,0.0986121811340027,0,9,1,7,5.375,4.9375,7,0,0.268333333333333,0.311475409836066,0.320282206740458,0.187909979298585,0.281751920129503,0.156406797369186,0.0741313765298669,0.0388811640546337
"65",0,1,0,0.0625,0,0.3203125,1,0.3125,0.5390625,4.3125,5.25,23,5,8,0,0,0,0,13.64,0.25,0,0.1,0.0317541634481457,1,0.141287284144427,0,1,3,7,4.75,4.125,7,0,0.277519379844961,0.311475409836066,0.808878886267881,0.0189813497598789,0.758826866165393,0.00805276352206907,0.0287588118536045,0.0105981723907479
"66",0,0,0,0.0625,0.25,0.3203125,0.625,0.3125,0.5390625,6.6875,5.6875,23,5,8,0,0,0,0,13.64,0.25,0,0.1,0.172413793103448,1,0.141287284144427,0,1,1,7,4.75,4.375,7,0,0.277519379844961,0.311475409836066,0.397940880542783,0.0631289495875548,0.353097667191168,0.100946578390536,0.0377222483179739,0.0611837173429637
"67",0,0,0,0.0625,0.25,0.3203125,0.6875,0.375,0.5390625,6.3125,5.625,23,5,8,0,0,0,0,13.64,0.275510204081633,1,0.1,0.102564102564103,0,0.12,0,1,1,7,5.75,4.4375,7,0,0.419354838709677,0.311475409836066,0.548268714427506,0.0631289495875548,0.439068600002839,0.0375867187890885,0.0462504163097163,0.0226879744330545
"68",0,0,0,0.0625,0.875,0.3203125,0.375,0.3125,0.54296875,7.625,5.375,28,5,8,0,0,0,0,13.64,0.25,0,0.1,0.172413793103448,1,0.141287284144427,0,1,2,7,5.8125,4,7,0,0.277519379844961,0.311475409836066,0.156523776188727,0.607986023112701,0.0840107471053459,0.534242421313076,0.166814140099244,0.133392140211481
"69",0,1,0,0.0625,0,0.3203125,0.75,0.3125,0.53515625,5.25,5.6875,28,5,8,0,0,0,0,13.64,0.26027397260274,1,0.1,0.102564102564103,0,0.12,0,1,2,7,5.125,4.375,7,0,0.23943661971831,0.311475409836066,0.55683857032038,0.0189813497598789,0.605530914442658,0.0135996016511042,0.0208414947553912,0.0223029221068882
"70",0,1,0,0.0625,0.3125,0.3203125,0.875,0.25,0.53515625,5.9375,5.625,29,5,8,0,0,0,0,13.64,0.275510204081633,0,0,0.102564102564103,0,0.141287284144427,0,1,1,7,5.625,4,7,0,0.268333333333333,0.311475409836066,0.634437417387699,0.0842949877759459,0.554232950483011,0.0529323567890693,0.0561464397798279,0.0298219785818875
"71",0,0,0,0.0625,0.5625,0.32421875,0.5625,0.375,0.54296875,7.5625,5.75,27,5,8,0,0,0,0,13.64,0.414634146341463,0,0,0.102564102564103,0,0.141287284144427,0,1,5,7,6.4375,4.0625,7,0,0.268333333333333,0.311475409836066,0.387938830864232,0.23796997352951,0.277060719109277,0.264672627616822,0.0972831507750292,0.0622108446767549
