"","X","iid","id","gender","wave","order","partner","pid","match","samerace","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sportsAct","tvsportsAct","exerciseAct","diningAct","museumsAct","artAct","hikingAct","gamingAct","clubbingAct","readingAct","tvAct","theaterAct","moviesAct","concertsAct","musicAct","shoppingAct","yogaAct","exphappy","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","dec","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","prob","met","goalMeetNew","goalFunNight","goalOther","goalGetDate","goalSeriousRel","goalSayDid","date7","date5","date3","date4","date6","date1","date2","raceAsian","raceWhite","rateOther","raceLatino","raceBlack","go_out1","go_out4","go_out2","go_out3","go_out7","go_out5","go_out6","fieldLaw","fieldMath","fieldPoliSci","fieldBusiness","fieldEngin","fieldAcademia","fieldSocialSci","fieldSocialWork","fieldUndecided","fieldMedicine","fieldHistReligPhil","fieldEnglish","fieldScience","fieldFilm","fieldLanguages","fieldArts","fieldArch","fieldOther","careerCreative","careerLaw","careerInternational","careerAcademic","careerFinance","careerUndecided","careerEngineer","careerPsychology","careerMedicine","careerSports","careerSocialWork","careerRealEstate","careerOther","careerSpeech","careerArch","careerPolitics","careerJourn","activityAvg","sportsActAdj","tvsportsActAdj","exerciseActAdj","diningActAdj","museumsActAdj","artActAdj","hikingActAdj","gamingActAdj","clubbingActAdj","readingActAdj","tvActAdj","theaterActAdj","moviesActAdj","concertsActAdj","musicActAdj","shoppingActAdj","yogaActAdj","raterDecSum","decSum","attrRatingAvg","sincRatingAvg","intelRatingAvg","funRatingAvg","ambRatingAvg","sharRatingAvg","likeRatingAvg","decAvg","raterDecAvg","attrRatingGuess","sincRatingGuess","intelRatingGuess","funRatingGuess","ambRatingGuess","sharRatingGuess","likeRatingGuess"
"11",102,11,1,1,1,10,2,2,0,1,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47058823529412,2.52941176470588,1.52941176470588,-3.47058823529412,0.529411764705882,1.52941176470588,-0.470588235294118,-0.470588235294118,-0.470588235294118,-1.47058823529412,3.52941176470588,-3.47058823529412,-1.47058823529412,2.52941176470588,1.52941176470588,2.52941176470588,-0.470588235294118,-4.47058823529412,0,6,7.66666666666667,7.11111111111111,8.11111111111111,7.33333333333333,7.55555555555556,6.77777777777778,7.66666666666667,0.666666666666667,0,7.50073865537361,7.47330421197332,7.82461119242475,7.5099624642449,7.2837801542965,5.66654607753106,7.27306474220727
"12",112,12,2,1,1,9,2,2,0,1,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23529411764706,2.76470588235294,0.764705882352941,2.76470588235294,1.76470588235294,0.764705882352941,-0.235294117647059,-3.23529411764706,-3.23529411764706,-1.23529411764706,-0.235294117647059,-0.235294117647059,-2.23529411764706,0.764705882352941,0.764705882352941,2.76470588235294,-1.23529411764706,-1.23529411764706,3,6,7.77777777777778,7.22222222222222,7.66666666666667,7.66666666666667,7.66666666666667,6.66666666666667,7.55555555555556,0.666666666666667,0.333333333333333,7.43557836965896,6.94825252763965,8.77037162112889,6.64000120047861,6.24392046643485,5.17422590669381,7.66606869642215
"13",122,13,3,1,1,6,2,2,0,0,22,1,25,4,3,5,42,2,7,1,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70588235294118,0.294117647058823,1.29411764705882,-4.70588235294118,2.29411764705882,-1.70588235294118,-0.705882352941177,-2.70588235294118,0.294117647058823,0.294117647058823,-0.705882352941177,1.29411764705882,3.29411764705882,1.29411764705882,2.29411764705882,2.29411764705882,1.29411764705882,-5.70588235294118,10,6,7.44444444444444,6.77777777777778,7.66666666666667,7.22222222222222,7.22222222222222,6.11111111111111,7.33333333333333,0.555555555555556,1,9.73310483535526,8.80351279123836,9.46216881975989,9.56201553090104,9.34674243288006,9.04874734948296,9.86701661190629
"14",132,14,4,1,1,1,2,2,1,1,23,1,25,2,1,1,56,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52941176470588,3.47058823529412,-0.529411764705882,1.47058823529412,1.47058823529412,-3.52941176470588,-3.52941176470588,3.47058823529412,1.47058823529412,1.47058823529412,-0.529411764705882,0.470588235294118,-3.52941176470588,3.47058823529412,-0.529411764705882,1.47058823529412,-0.529411764705882,-5.52941176470588,10,6,7.55555555555556,6.88888888888889,7.77777777777778,7.33333333333333,7.33333333333333,6.22222222222222,7.44444444444444,0.555555555555556,1,7.63617867803633,7.43095058658135,7.69479409430447,8.18918503596666,8.4348899410764,7.66482707390772,7.88125453766139
"15",142,15,5,1,1,3,2,2,0,0,24,1,25,3,3,1,36,1,4,1,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41176470588235,2.58823529411765,0.588235294117647,2.58823529411765,0.588235294117647,-2.41176470588235,-3.41176470588235,-0.411764705882353,0.588235294117647,2.58823529411765,1.58823529411765,-0.411764705882353,2.58823529411765,2.58823529411765,-0.411764705882353,0.588235294117647,-4.41176470588235,-5.41176470588235,9,6,7.44444444444444,6.77777777777778,7.66666666666667,7.22222222222222,7.55555555555556,6.33333333333333,7.33333333333333,0.555555555555556,0.888888888888889,7.84969260582145,7.54138917632044,8.3648935831582,7.19547750471488,8.15979146094853,6.29776959895799,7.881949729766
"16",152,16,6,1,1,2,2,2,0,1,25,8,25,2,9,2,42,1,5,1,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.82352941176471,1.17647058823529,-3.82352941176471,0.176470588235294,1.17647058823529,1.17647058823529,1.17647058823529,-0.823529411764706,-0.823529411764706,-0.823529411764706,2.17647058823529,-2.82352941176471,1.17647058823529,2.17647058823529,1.17647058823529,2.17647058823529,0.176470588235294,-4.82352941176471,8,6,7.77777777777778,7,8,7.77777777777778,7.55555555555556,6.44444444444444,7.66666666666667,0.555555555555556,0.777777777777778,7.5788874733862,6.52517137251745,7.52045465843713,7.74768929335839,7.33639597173576,6.71039466742377,7.2645439621622
"17",162,17,7,1,1,7,2,2,0,1,30,13,25,2,1,1,38,3,3,2,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29411764705882,2.70588235294118,-3.29411764705882,3.70588235294118,1.70588235294118,1.70588235294118,-0.294117647058823,-1.29411764705882,-3.29411764705882,0.705882352941177,-1.29411764705882,-3.29411764705882,1.70588235294118,3.70588235294118,1.70588235294118,1.70588235294118,-3.29411764705882,-3.29411764705882,2,6,8,7.55555555555556,8.33333333333333,8,7.77777777777778,6.88888888888889,8,0.666666666666667,0.222222222222222,7.08268841115824,6.18736431376506,6.74659881728188,6.06799131973017,6.0823159577647,5.11579876424612,5.87607335378451
"18",172,18,8,1,1,8,2,2,0,1,27,8,25,2,8,8,52,1,6,1,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.70588235294118,0.294117647058823,0.294117647058823,0.294117647058823,4.29411764705882,-0.705882352941177,-1.70588235294118,-0.705882352941177,-0.705882352941177,-2.70588235294118,1.29411764705882,4.29411764705882,-1.70588235294118,4.29411764705882,-1.70588235294118,1.29411764705882,-2.70588235294118,-3.70588235294118,3,6,7.77777777777778,7.11111111111111,8,7.55555555555556,7.55555555555556,6.66666666666667,7.66666666666667,0.555555555555556,0.222222222222222,7.38102681842097,6.33856674162863,7.06067386162357,6.79113905034893,6.75947154662692,5.35490820100952,7.46843880781151
"19",182,19,9,1,1,4,2,2,1,1,28,8,25,2,1,1,42,4,1,1,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.05882352941176,2.94117647058824,2.94117647058824,2.94117647058824,2.94117647058824,-2.05882352941176,-2.05882352941176,-1.05882352941176,-0.0588235294117645,1.94117647058824,0.941176470588236,-6.05882352941176,-6.05882352941176,-0.0588235294117645,-0.0588235294117645,-0.0588235294117645,-0.0588235294117645,2.94117647058824,10,6,7.66666666666667,7.22222222222222,7.77777777777778,7.33333333333333,7.44444444444444,6.44444444444444,7.55555555555556,0.555555555555556,1,7.68687129225284,6.97520249429785,7.55333365290875,8.31641667647037,7.61676625732674,7.49253579882159,7.8844372481623
"20",192,20,10,1,1,5,2,2,0,1,24,8,25,2,1,1,42,1,1,1,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,2,2,1,1,-4,2,2,0,-5,0,0,-2,-2,-3,2,1,6,7.88888888888889,7.33333333333333,8,7.55555555555556,7.33333333333333,6.44444444444444,7.77777777777778,0.666666666666667,0.111111111111111,7.28867293105622,7.47596531559641,7.91142062963853,7.06074851042559,7.70901798641774,6.41775679445047,7.2674297074428
"21",103,11,1,1,1,6,3,3,0,1,27,8,25,2,7,3,42,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47058823529412,2.52941176470588,1.52941176470588,-3.47058823529412,0.529411764705882,1.52941176470588,-0.470588235294118,-0.470588235294118,-0.470588235294118,-1.47058823529412,3.52941176470588,-3.47058823529412,-1.47058823529412,2.52941176470588,1.52941176470588,2.52941176470588,-0.470588235294118,-4.47058823529412,0,5,6.44444444444444,7,7.44444444444444,6.33333333333333,7,6.22222222222222,6.11111111111111,0.555555555555556,0,6.24700194566088,7.23194490262857,6.96654619564802,6.8726054163371,6.58291067697045,5.07254905743187,5.76498321503063
"22",113,12,2,1,1,5,3,3,0,1,22,1,25,2,1,1,29,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23529411764706,2.76470588235294,0.764705882352941,2.76470588235294,1.76470588235294,0.764705882352941,-0.235294117647059,-3.23529411764706,-3.23529411764706,-1.23529411764706,-0.235294117647059,-0.235294117647059,-2.23529411764706,0.764705882352941,0.764705882352941,2.76470588235294,-1.23529411764706,-1.23529411764706,3,5,6.55555555555556,7.11111111111111,7,6.22222222222222,7.22222222222222,6.11111111111111,5.88888888888889,0.555555555555556,0.333333333333333,6.02386789247591,6.67027322973683,8.13597039980248,5.12900392403405,5.77143909810597,4.54075714853882,5.88872759142335
"23",123,13,3,1,1,2,3,3,0,0,22,1,25,4,3,5,42,2,7,1,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70588235294118,0.294117647058823,1.29411764705882,-4.70588235294118,2.29411764705882,-1.70588235294118,-0.705882352941177,-2.70588235294118,0.294117647058823,0.294117647058823,-0.705882352941177,1.29411764705882,3.29411764705882,1.29411764705882,2.29411764705882,2.29411764705882,1.29411764705882,-5.70588235294118,10,5,6.11111111111111,6.77777777777778,7,5.77777777777778,6.77777777777778,5.55555555555556,5.55555555555556,0.444444444444444,1,7.64001980642443,8.82226186202016,8.58717197064667,7.94637858531071,8.81398844717476,8.44981427510547,7.89433723101439
"24",133,14,4,1,1,7,3,3,0,1,23,1,25,2,1,1,56,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52941176470588,3.47058823529412,-0.529411764705882,1.47058823529412,1.47058823529412,-3.52941176470588,-3.52941176470588,3.47058823529412,1.47058823529412,1.47058823529412,-0.529411764705882,0.470588235294118,-3.52941176470588,3.47058823529412,-0.529411764705882,1.47058823529412,-0.529411764705882,-5.52941176470588,10,5,6.44444444444444,6.88888888888889,7.22222222222222,6,7,5.77777777777778,5.88888888888889,0.444444444444444,1,6.65897735539285,7.39603230776095,7.13464043441614,6.80201194639416,8.16683437309687,7.27871561643658,6.37499904724338
