                 avgDec      avgDecO    avgMatches
intel2_3     -0.1     0.1        0.1
fun2_3        0.0     0.0        0.0
amb2_3        0.0     0.0        0.0
shar2_3       0.0    -0.2       -0.2
attr3_3       0.0     0.0        0.1
sinc3_3       0.1    -0.1        0.0
intel3_3      0.1    -0.1        0.1
fun3_3        0.0     0.1        0.1
amb3_3        0.0     0.0        0.1
attr5_3      -0.1     0.1        0.0
sinc5_3       0.0    -0.1        0.0
intel5_3      0.0     0.0        0.0
fun5_3       -0.1     0.1        0.0
amb5_3        0.0     0.0        0.0
avgMatches    0.4     0.6        1.0
avgDecO      -0.3     1.0        0.6
avgDec        1.0    -0.3        0.4
sinc_Rater_1,


  X wave gender iid pid id partner dec attr sinc intel fun amb shar like prob match dec_Rater_1 dec_Rater_2 dec_Rater_4 dec_Rater_5
1 1    1      0   1  11  1       1   1    6    9     7   7   6    5    7    6     0           0   0.0000000   0.0000000   0.0000000
2 2    1      0   1  12  1       2   1    7    8     7   8   5    6    7    5     0           0   0.0000000   0.0000000   0.0000000
3 3    1      0   1  13  1       3   1    5    8     9   8   5    7    7    5     1           0   0.0000000   0.0000000   0.0000000
4 4    1      0   1  14  1       4   1    7    6     8   7   6    8    7    6     1           0   0.1666667   0.1071429   0.1666667
5 5    1      0   1  15  1       5   1    5    6     7   7   6    6    6    6     1           0   0.0000000   0.0000000   0.0000000
6 6    1      0   1  16  1       6   0    4    9     7   4   6    4    6    5     0           0   0.0000000   0.0000000   0.1666667
  dec_Rater_6 dec_Rater_7 dec_Rater_10 attr_Rater_1 attr_Rater_2 attr_Rater_3 attr_Rater_4 attr_Rater_5 attr_Rater_6 attr_Rater_7
1       0.375   0.0000000    0.0000000            0    0.7732784     2.021071     1.625980    1.1655043     3.394478    0.9840716
2       0.375   0.0000000    0.0000000            0    1.2372455     2.598520     3.251960    1.8648068     3.394478    1.4761074
3       0.000   0.0000000    0.1666667            0    0.7732784     2.021071     1.625980    0.9324034     2.262985    0.7380537
4       0.375   0.1666667    0.0000000            0    1.0825898     2.598520     3.251960    1.8648068     4.525970    1.7221253
5       0.000   0.0000000    0.0000000            0    0.9279341     2.598520     2.438970    1.3986051     2.828731    0.9840716
6       0.000   0.0000000    0.0000000            0    1.2372455     2.309795     2.032475    1.1655043     1.697239    0.9840716
  attr_Rater_8 attr_Rater_9 attr_Rater_10 sinc_Rater_1 sinc_Rater_2 sinc_Rater_3 sinc_Rater_4 sinc_Rater_5 sinc_Rater_6 sinc_Rater_7
1     2.084318     2.239533    0.07367317            0   0.02417127    0.7073605   0.02098591    0.4972376     1.708558    0.6975739
2     3.334909     2.799416    0.01227886            0   0.01726519    0.5501693   0.01469014    0.3729282     1.708558    0.5231804
3     2.084318     1.399708    0.07367317            0   0.02762431    0.7073605   0.01469014    0.3729282     1.328878    0.5231804
4     3.334909     2.799416    0.12278862            0   0.03107735    0.5501693   0.02098591    0.3107735     1.139039    0.6975739
5     2.501182     1.399708    0.06139431            0   0.02762431    0.7859562   0.01888732    0.4350829     0.759359    0.6103771
6     2.501182     2.239533    0.06139431            0   0.02417127    0.7859562   0.02098591    0.3729282     1.328878    0.6975739
  sinc_Rater_8 sinc_Rater_9 sinc_Rater_10 intel_Rater_1 intel_Rater_2 intel_Rater_3 intel_Rater_4 intel_Rater_5 intel_Rater_6
1    0.3349811    0.8703922    0.31833728             0     0.5844971     0.9836066     0.9886507             0             0
2    0.2931085    0.8703922    0.03183373             0     0.4383728     0.8852459     0.9886507             0             0
3    0.3349811    0.8703922    0.31833728             0     0.6575592     0.8852459     0.9886507             0             0
4    0.2512358    0.7833530    0.31833728             0     0.5114349     0.8852459     0.8650694             0             0
5    0.3349811    0.8703922    0.22283610             0     0.5114349     0.9836066     0.9886507             0             0
6    0.3349811    0.7833530    0.31833728             0     0.5844971     0.9836066     0.9886507             0             0
  intel_Rater_7 intel_Rater_8 intel_Rater_9 intel_Rater_10 fun_Rater_1 fun_Rater_2 fun_Rater_3 fun_Rater_4 fun_Rater_5 fun_Rater_6
1      2.254489     0.9687381    0.08881820      1.7290894           0    1.405015   0.7894493    2.480620   0.4029605   1.0848214
2      2.254489     0.9687381    0.09868689      0.1729089           0    2.107523   0.9022277    4.961240   1.0074013   1.0848214
3      2.254489     1.1071292    0.09868689      1.7290894           0    2.107523   0.7894493    3.968992   1.6118421   0.7232143
4      2.254489     0.6919558    0.07894951      1.7290894           0    2.107523   0.7894493    4.961240   1.4103618   1.4464286
5      1.972678     1.1071292    0.07894951      1.2103626           0    3.161284   1.1277847    4.465116   1.0074013   1.4464286
6      1.972678     1.1071292    0.08881820      1.0374536           0    1.053761   0.7894493    1.984496   1.0074013   0.1808036
  fun_Rater_7 fun_Rater_8 fun_Rater_9 fun_Rater_10 amb_Rater_1 amb_Rater_2 amb_Rater_3 amb_Rater_4 amb_Rater_5 amb_Rater_6
1   0.5222801    1.687500      0.5000    0.9216028           0  0.08211832  0.02327085 0.011234202  0.03797938   1.1752063
2   0.4178241    3.796875      0.6250    0.1536005           0  0.12317748  0.02617970 0.009829927  0.09494845   1.3430929
3   0.7311921    2.531250      0.3750    1.5360046           0  0.04105916  0.02617970 0.008425651  0.11393814   0.5036598
4   0.7311921    2.531250      0.5000    1.5360046           0  0.06843193  0.02617970 0.009829927  0.13292782   0.3357732
5   0.4178241    2.109375      0.5000    1.0752033           0  0.09580470  0.02908856 0.011234202  0.07595876   0.6715464
6   0.4178241    2.109375      0.4375    0.6144019           0  0.08211832  0.02617970 0.011234202  0.13292782   0.1678866
  amb_Rater_7 amb_Rater_8 amb_Rater_9 amb_Rater_10 shar_Rater_1 shar_Rater_2 shar_Rater_3 shar_Rater_4 shar_Rater_5 shar_Rater_6
1  0.01634798    5.057664   0.7349490    1.4474067            0    1.1576262     1.279070    2.8936357    0.1701223    2.8152493
2  0.02101883    4.335141   1.0499271    0.2412344            0    2.3152523     0.994832    3.3070122    0.4253057    0.9384164
3  0.01868340    5.057664   0.6299563    1.4474067            0    1.5435015     0.994832    2.8936357    0.4253057    0.9384164
4  0.01634798    4.335141   0.7349490    2.4123444            0    2.7011277     0.994832    4.1337653    0.7655502    3.7536657
5  0.01868340    4.335141   0.5249636    1.6886411            0    3.0870031     1.421189    3.7203887    0.6804891    0.9384164
6  0.01167713    4.335141   0.6299563    1.4474067            0    0.7717508     1.279070    0.8267531    0.6804891    0.4692082
  shar_Rater_7 shar_Rater_8 shar_Rater_9 shar_Rater_10 like_Rater_1 like_Rater_2 like_Rater_3 like_Rater_4 like_Rater_5 like_Rater_6
1     1.943067    0.5570410    0.2597403      1.948052            0    0.7741935            0   0.06976744            0    0.9623762
2     1.943067    0.7798574    0.4329004      1.948052            0    0.9032258            0   0.09302326            0    1.1227723
3     3.886134    0.7798574    0.2597403      1.948052            0    0.7741935            0   0.04651163            0    0.9623762
4     2.914601    0.5570410    0.3030303      1.948052            0    0.9032258            0   0.09302326            0    1.4435644
5     2.428834    0.7798574    0.2164502      1.948052            0    1.0322581            0   0.08139535            0    0.6415842
6     1.943067    0.7798574    0.2164502      1.948052            0    0.7741935            0   0.04651163            0    0.3207921
  like_Rater_7 like_Rater_8 like_Rater_9 like_Rater_10 prob_Rater_1 prob_Rater_2 prob_Rater_3 prob_Rater_4 prob_Rater_5 prob_Rater_6
1          1.4        0.100         0.40             0            0   0.11073137    0.2812500    4.0849421  0.017636684    0.3977231
2          1.4        0.200         0.80             0            0   0.08304853    0.2812500    0.5835632  0.014109347    0.3977231
3          1.4        0.125         0.64             0            0   0.19377990    0.2812500    0.5835632  0.017636684    0.1325744
4          1.6        0.125         0.56             0            0   0.22146275    0.2812500    5.8356315  0.007054674    0.2651487
5          1.0        0.150         0.40             0            0   0.16609706    0.2008929    4.0849421  0.014109347    0.1988615
6          1.0        0.150         0.48             0            0   0.13841422    0.2008929    1.7506895  0.010582011    0.1325744
  prob_Rater_7 prob_Rater_8 prob_Rater_9 prob_Rater_10
1   0.06965174    0.3090659     1.428571     0.7620968
2   0.05223881    0.4326923     1.428571     0.2540323
3   0.13930348    0.3090659     1.428571     1.5241935
4   0.10447761    0.3708791     1.428571     0.2540323
5   0.10447761    0.3090659     1.428571     0.2540323
6   0.08706468    0.3090659     1.428571     0.2540323


c("like_Rater_3", "like_Rater_5", "like_Rater_10")


wave = ddply(wave, .(id) ,transform ,decMean = mean(dec))
wave = ddply(wave, .(id) ,transform ,attrMean = mean(attr))
wave = ddply(wave, .(id) ,transform ,sincMean = mean(sinc))
wave = ddply(wave, .(id) ,transform ,intelMean = mean(intel))
wave = ddply(wave, .(id) ,transform ,funMean = mean(fun))
wave = ddply(wave, .(id) ,transform ,ambMean = mean(amb))
wave = ddply(wave, .(id) ,transform ,sharMean = mean(shar))
wave = ddply(wave, .(id) ,transform ,likeMean = mean(like))
wave = ddply(wave, .(id) ,transform ,probMean = mean(prob))

wave = ddply(wave, .(partner) ,transform ,decPartnerMean = mean(dec))
wave = ddply(wave, .(partner) ,transform ,attrPartnerMean = mean(attr))
wave = ddply(wave, .(partner) ,transform ,sincPartnerMean = mean(sinc))
wave = ddply(wave, .(partner) ,transform ,intelPartnerMean = mean(intel))
wave = ddply(wave, .(partner) ,transform ,funPartnerMean = mean(fun))
wave = ddply(wave, .(partner) ,transform ,ambPartnerMean = mean(amb))
wave = ddply(wave, .(partner) ,transform ,sharPartnerMean = mean(shar))
wave = ddply(wave, .(partner) ,transform ,likePartnerMean = mean(like))
wave = ddply(wave, .(partner) ,transform ,probPartnerMean = mean(prob))
