"","iid","id","gender","wave","round","order","partner","pid","match","int_corr","samerace","met_o","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","goal 2","goal 1","goal 6","goal 3","goal 4","goal 5","date 7","date 5","date 3","date 4","date 6","date 1","date 2","race 4","race 2","race 6","race 3","race 1","go_out 1","go_out 4","go_out 2","go_out 3","go_out 7","go_out 5","go_out 6","field_cd 1","field_cd 2","field_cd 13","field_cd 8","field_cd 5","field_cd 9","field_cd 3","field_cd 11","field_cd 12","field_cd 4","field_cd 7","field_cd 6","field_cd 10","field_cd 14","field_cd 16","field_cd 15","field_cd 17","field_cd 18","career_c 6","career_c 1","career_c 9","career_c 2","career_c 7","career_c 10","career_c 5","career_c 3","career_c 4","career_c 14","career_c 11","career_c 8","career_c 15","career_c 12","career_c 17","career_c 13","career_c 16","activityAvg","raterCount","rateeCount","matchOwnSum","matchPartnerSum","decOwnSum","decPartnerSum","attrOwnSum","attrPartnerSum","sincOwnSum","sincPartnerSum","intelOwnSum","intelPartnerSum","funOwnSum","funPartnerSum","ambOwnSum","ambPartnerSum","sharOwnSum","sharPartnerSum","likeOwnSum","likePartnerSum","probOwnSum","probPartnerSum","metOwnSum","metPartnerSum","metOwnMean","metPartnerMean","metOwnMeanExc","metPartnerMeanExc","tvsportsAdj","exerciseAdj","diningAdj","museumsAdj","artAdj","hikingAdj","gamingAdj","clubbingAdj","readingAdj","tvAdj","theaterAdj","moviesAdj","concertsAdj","musicAdj","shoppingAdj","yogaAdj"
"13",2,2,0,1,10,6,3,13,0,0.1,0,2,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,0,5,8,9,6,3,4,6,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,1.9,1.5,1.89,1.44,-3.65,1.35,4.35,2.35,0.35,-2.65,-0.65,2.35,4.35,-4.65,3.35,2.35,1.35,2.35,-2.65,-4.65
"14",2,2,0,1,10,1,4,14,1,-0.21,1,2,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,1,7,9,7,6,5,7,7,8,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,1.9,1.6,1.89,1.56,-3.65,1.35,4.35,2.35,0.35,-2.65,-0.65,2.35,4.35,-4.65,3.35,2.35,1.35,2.35,-2.65,-4.65
"15",2,2,0,1,10,3,5,15,0,0.32,0,1,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,0,6,8,7,9,7,8,8,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,1.9,1.5,2,1.56,-3.65,1.35,4.35,2.35,0.35,-2.65,-0.65,2.35,4.35,-4.65,3.35,2.35,1.35,2.35,-2.65,-4.65
"16",2,2,0,1,10,2,6,16,0,0.73,1,2,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,0,8,7,8,3,6,2,6,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,1.9,1.8,1.89,1.78,-3.65,1.35,4.35,2.35,0.35,-2.65,-0.65,2.35,4.35,-4.65,3.35,2.35,1.35,2.35,-2.65,-4.65
"17",2,2,0,1,10,7,7,17,0,0.6,1,2,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,1,7,5,9,6,7,9,8,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,1.9,2,1.89,2,-3.65,1.35,4.35,2.35,0.35,-2.65,-0.65,2.35,4.35,-4.65,3.35,2.35,1.35,2.35,-2.65,-4.65
"18",2,2,0,1,10,8,8,18,0,0.07,1,2,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,0,5,8,7,5,9,5,5,6,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,1.9,1.8,1.89,1.78,-3.65,1.35,4.35,2.35,0.35,-2.65,-0.65,2.35,4.35,-4.65,3.35,2.35,1.35,2.35,-2.65,-4.65
"19",2,2,0,1,10,4,9,19,1,0.11,1,2,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,1,7,6,8,9,4,5,5,6,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,1.9,2,1.89,2,-3.65,1.35,4.35,2.35,0.35,-2.65,-0.65,2.35,4.35,-4.65,3.35,2.35,1.35,2.35,-2.65,-4.65
"20",2,2,0,1,10,5,10,20,0,0.39,1,2,24,1,25,2,2,5,65,1,5,1,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,1,6,7,8,7,9,8,8,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,1.9,2,1.89,2,-3.65,1.35,4.35,2.35,0.35,-2.65,-0.65,2.35,4.35,-4.65,3.35,2.35,1.35,2.35,-2.65,-4.65
"21",3,3,0,1,10,6,1,11,0,-0.24,1,1,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,0,7,9,10,7,8,9,8,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,1.5,1.9,1.56,2,1.76,0.76,1.76,-1.24,-1.24,1.76,-2.24,-1.24,0.76,1.76,0.76,0.76,0.76,-1.24,1.76,0.76
"22",3,3,0,1,10,5,2,12,0,-0.14,1,2,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,0,9,7,9,8,9,7,8,7,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1.5,1.5,1.44,1.44,1.76,0.76,1.76,-1.24,-1.24,1.76,-2.24,-1.24,0.76,1.76,0.76,0.76,0.76,-1.24,1.76,0.76
"23",3,3,0,1,10,2,3,13,0,0.09,0,2,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,0,7,9,9,7,9,7,8,7,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1.5,1.5,1.44,1.44,1.76,0.76,1.76,-1.24,-1.24,1.76,-2.24,-1.24,0.76,1.76,0.76,0.76,0.76,-1.24,1.76,0.76
"24",3,3,0,1,10,7,4,14,0,-0.04,1,2,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,0,9,7,9,7,9,7,8,7,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,1.5,1.6,1.44,1.56,1.76,0.76,1.76,-1.24,-1.24,1.76,-2.24,-1.24,0.76,1.76,0.76,0.76,0.76,-1.24,1.76,0.76
"27",3,3,0,1,10,3,7,17,0,-0.26,1,2,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,0,8,9,10,7,7,9,8,7,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,1.5,2,1.44,2,1.76,0.76,1.76,-1.24,-1.24,1.76,-2.24,-1.24,0.76,1.76,0.76,0.76,0.76,-1.24,1.76,0.76
"28",3,3,0,1,10,4,8,18,0,0.29,1,2,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,0,7,9,9,8,9,7,8,7,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,1.5,1.8,1.44,1.78,1.76,0.76,1.76,-1.24,-1.24,1.76,-2.24,-1.24,0.76,1.76,0.76,0.76,0.76,-1.24,1.76,0.76
"29",3,3,0,1,10,10,9,19,0,-0.15,1,2,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,0,9,9,9,9,9,9,9,7,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,1.5,2,1.44,2,1.76,0.76,1.76,-1.24,-1.24,1.76,-2.24,-1.24,0.76,1.76,0.76,0.76,0.76,-1.24,1.76,0.76
"30",3,3,0,1,10,1,10,20,0,-0.47,1,2,25,2,25,2,8,4,42,6,3,1,6,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,0,8,7,9,7,9,7,8,7,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,1.5,2,1.44,2,1.76,0.76,1.76,-1.24,-1.24,1.76,-2.24,-1.24,0.76,1.76,0.76,0.76,0.76,-1.24,1.76,0.76
"31",4,4,0,1,10,3,1,11,0,-0.18,1,2,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,0,4,10,8,5,8,7,6,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,1.8,1.9,1.78,1.89,-4.88,0.12,1.12,0.12,1.12,1.12,-0.88,1.12,1.12,1.12,3.12,1.12,2.12,1.12,-4.88,2.12
"32",4,4,0,1,10,2,2,12,0,-0.18,1,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,0,8,7,8,10,7,8,8,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,1.8,1.5,1.89,1.56,-4.88,0.12,1.12,0.12,1.12,1.12,-0.88,1.12,1.12,1.12,3.12,1.12,2.12,1.12,-4.88,2.12
"33",4,4,0,1,10,9,3,13,0,0.05,0,2,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,0,4,7,8,8,6,7,4,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,1.8,1.5,1.78,1.44,-4.88,0.12,1.12,0.12,1.12,1.12,-0.88,1.12,1.12,1.12,3.12,1.12,2.12,1.12,-4.88,2.12
"34",4,4,0,1,10,4,4,14,1,-0.18,1,1,23,1,25,2,1,1,37,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,1,8,10,7,10,7,10,8,10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,1.8,1.6,1.89,1.67,-4.88,0.12,1.12,0.12,1.12,1.12,-0.88,1.12,1.12,1.12,3.12,1.12,2.12,1.12,-4.88,2.12
