"","iid","id","gender","wave","round","order","partner","pid","match","sameRace","age","fieldCD","race","imprace","imprelig","goal","date","goOut","careerCD","exphappy","expnum","attrPref","sincPref","intelPref","funPref","ambPref","sharPref","decRating","attrRating","sincRating","intelRating","funRating","ambRating","sharRating","likeRating","probRating","met","youCall","themCall","dateAfter","numDatesAfter"
"230",22,2,0,2,16,11,14,53,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,1,7,7,8,6,7,8,8,5,2,0,0,0,NA
"231",22,2,0,2,16,12,15,54,0,0,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,0,4,5,5,4,5,4,4,2,2,0,0,0,NA
"232",22,2,0,2,16,3,16,55,0,1,27,9,1,1,2,1,6,2,5,4,2,20,20,20,10,10,20,1,6,7,7,7,7,7,7,6,2,0,0,0,NA
"233",23,3,0,2,16,5,1,40,0,1,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,1,5,7,6,6,6,7,8,6,2,0,0,0,NA
"234",23,3,0,2,16,6,2,41,0,1,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,0,5,7,7,6,6,7,7,6,2,0,0,0,NA
"235",23,3,0,2,16,7,3,42,0,1,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,1,6,6,7,6,6,6,6.5,5,2,0,0,0,NA
"236",23,3,0,2,16,10,4,43,1,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,1,5,7,8,6,6,7,7,6,2,0,0,0,NA
"237",23,3,0,2,16,14,5,44,1,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,1,7,7,7,6,6,9,9,10,1,0,0,0,NA
"238",23,3,0,2,16,1,6,45,1,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,1,6,7,7,6,7,5,7,5,2,0,0,0,NA
"239",23,3,0,2,16,4,7,46,0,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,1,7,6,7,7,7,6,7,5,2,0,0,0,NA
"240",23,3,0,2,16,11,8,47,0,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,0,5,6,7,6,6,6,6,5,2,0,0,0,NA
"241",23,3,0,2,16,15,9,48,0,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,0,6,6,6,8,6,5,6,5,2,0,0,0,NA
"242",23,3,0,2,16,2,10,49,0,1,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,1,7,7,6,7,6,7,8,6,2,0,0,0,NA
"243",23,3,0,2,16,3,11,50,0,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,1,6,6,7,8,8,7,7,5,2,0,0,0,NA
"244",23,3,0,2,16,12,12,51,0,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,0,7,6,5,4,4,4,6,4,2,0,0,0,NA
"245",23,3,0,2,16,13,13,52,0,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,0,6,6,5,7,5,6,6,5,2,0,0,0,NA
"246",23,3,0,2,16,8,14,53,0,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,0,6,7,7,7,7,6,6,5,0,0,0,0,NA
"247",23,3,0,2,16,9,15,54,0,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,0,6,7,6,6,5,5,6,4,2,0,0,0,NA
"248",23,3,0,2,16,16,16,55,0,0,21,3,4,9,6,1,1,1,3,5,3,10,20,40,10,10,10,0,6,8,7,6,7,5,6,5,2,0,0,0,NA
"249",24,4,0,2,16,11,1,40,0,0,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,5,6,7,7,7,6,6,3,2,NA,NA,NA,NA
"250",24,4,0,2,16,12,2,41,0,0,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,7,8,7,7,8,6,8,4,2,NA,NA,NA,NA
"251",24,4,0,2,16,13,3,42,0,0,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,6,8,7,7,7,6,7,5,2,NA,NA,NA,NA
"252",24,4,0,2,16,16,4,43,0,1,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,7,8,8,8,7,6,7,5,2,NA,NA,NA,NA
"253",24,4,0,2,16,4,5,44,0,1,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,5,8,8,7,8,6,7,7,2,NA,NA,NA,NA
"254",24,4,0,2,16,7,6,45,0,1,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,7,7,8,7,8,6,8,6,2,NA,NA,NA,NA
"255",24,4,0,2,16,10,7,46,0,1,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,1,9,8,7,8,7,8,8,7,2,NA,NA,NA,NA
"256",24,4,0,2,16,1,8,47,0,1,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,5,7,7,7,7,7,7,7,2,NA,NA,NA,NA
"257",24,4,0,2,16,5,9,48,0,1,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,7,7,7,8,7,6,7,6,2,NA,NA,NA,NA
"258",24,4,0,2,16,8,10,49,0,0,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,6,7,7,8,7,6,6,5,2,NA,NA,NA,NA
"259",24,4,0,2,16,9,11,50,0,0,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,6,8,7,8,7,6,7,7,2,NA,NA,NA,NA
"260",24,4,0,2,16,2,12,51,0,1,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,6,6,8,7,8,6,7,7,2,NA,NA,NA,NA
"261",24,4,0,2,16,3,13,52,0,1,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,4,7,7,6,8,7,7,6,2,NA,NA,NA,NA
"262",24,4,0,2,16,14,14,53,0,1,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,1,8,7,7,7,8,8,8,7,2,NA,NA,NA,NA
"263",24,4,0,2,16,15,15,54,0,1,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,6,8,7,8,8,8,7,6,2,NA,NA,NA,NA
"264",24,4,0,2,16,6,16,55,0,0,27,11,2,2,3,2,6,4,9,5,3,10,20,20,15,20,15,0,8,7,7,7,7,2,6,4,2,NA,NA,NA,NA
"265",25,5,0,2,16,13,1,40,0,0,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,7,8,9,6,8,5,6,4,2,0,0,0,NA
"266",25,5,0,2,16,14,2,41,0,0,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,5,8,8,6,8,5,7,3,2,0,0,0,NA
"267",25,5,0,2,16,15,3,42,0,0,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,6,7,8,7,9,7,7,5,2,0,0,0,NA
"268",25,5,0,2,16,2,4,43,0,1,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,4,5,10,4,10,4,4,5,2,0,0,0,NA
"269",25,5,0,2,16,6,5,44,0,1,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,6,7,9,7,9,3,5,4,2,0,0,0,NA
"270",25,5,0,2,16,9,6,45,0,1,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,6,8,7,5,8,7,7,5,2,0,0,0,NA
"271",25,5,0,2,16,12,7,46,0,1,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,7,8,8,6,10,6,8,7,2,0,0,0,NA
"272",25,5,0,2,16,3,8,47,0,1,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,3,8,9,8,10,5,8,4,2,0,0,0,NA
"273",25,5,0,2,16,7,9,48,0,1,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,7,8,8,8,6,6,7,6,2,0,0,0,NA
"274",25,5,0,2,16,10,10,49,0,0,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,8,8,9,8,9,8,9,8,2,0,0,0,NA
"275",25,5,0,2,16,11,11,50,0,0,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,9,8,9,8,10,7,8,7,2,0,0,0,NA
"276",25,5,0,2,16,4,12,51,0,1,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,6,5,8,7,10,8,6,7,2,0,0,0,NA
"277",25,5,0,2,16,5,13,52,0,1,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,5,4,7,5,9,7,5,4,2,0,0,0,NA
"278",25,5,0,2,16,16,14,53,0,1,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,7,8,9,7,8,5,7,7,2,0,0,0,NA
"279",25,5,0,2,16,1,15,54,0,1,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,5,8,8,6,9,6,6,7,2,0,0,0,NA
"280",25,5,0,2,16,8,16,55,0,0,25,11,2,10,2,1,5,2,9,5,4,20,20,15,15,15,15,0,7,7,7,8,8,6,7,5,2,0,0,0,NA
"281",26,6,0,2,16,14,1,40,0,0,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,2,5,5,3,5,2,2,2,2,NA,NA,NA,NA
"282",26,6,0,2,16,15,2,41,0,0,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,2,5,5,3,5,2,2,2,2,NA,NA,NA,NA
"283",26,6,0,2,16,16,3,42,0,0,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,2,5,5,3,7,3,3,2,2,NA,NA,NA,NA
"284",26,6,0,2,16,3,4,43,0,1,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,2,6,7,1,7,2,2,3,2,NA,NA,NA,NA
"285",26,6,0,2,16,7,5,44,0,1,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,3,8,7,6,6,4,5,4,2,NA,NA,NA,NA
"286",26,6,0,2,16,10,6,45,0,1,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,4,7,6,1,4,3,2,2,2,NA,NA,NA,NA
"287",26,6,0,2,16,13,7,46,0,1,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,7,4,5,6,5,4,6,5,2,NA,NA,NA,NA
"288",26,6,0,2,16,4,8,47,0,1,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,3,7,6,4,6,2,2,2,2,NA,NA,NA,NA
"289",26,6,0,2,16,8,9,48,0,1,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,6,5,5,7,6,3,4,4,2,NA,NA,NA,NA
"290",26,6,0,2,16,11,10,49,0,0,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,5,8,8,7,7,6,5,5,2,NA,NA,NA,NA
"291",26,6,0,2,16,12,11,50,0,0,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,7,6,6,7,6,6,8,5,2,NA,NA,NA,NA
"292",26,6,0,2,16,5,12,51,0,1,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,6,7,6,5,6,6,6,4,2,NA,NA,NA,NA
"293",26,6,0,2,16,6,13,52,0,1,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,2,7,6,4,4,4,5,4,2,NA,NA,NA,NA
"294",26,6,0,2,16,1,14,53,0,1,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,6,8,8,6,7,5,6,6,2,NA,NA,NA,NA
"295",26,6,0,2,16,2,15,54,0,1,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,2,8,7,2,7,2,3,3,2,NA,NA,NA,NA
"296",26,6,0,2,16,9,16,55,0,0,23,11,2,2,4,1,5,2,9,7,10,20,20,20,15,15,10,0,6,6,6,6,6,4,6,5,2,NA,NA,NA,NA
"297",27,7,0,2,16,5,1,40,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,2,6,6,6,6,6,3,3,2,NA,NA,NA,NA
"298",27,7,0,2,16,6,2,41,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,1,6,4,2,1,6,2,1,2,NA,NA,NA,NA
"299",27,7,0,2,16,7,3,42,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,1,4,6,2,6,1,2,2,2,NA,NA,NA,NA
"300",27,7,0,2,16,10,4,43,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,1,6,7,6,4,3,2,3,1,NA,NA,NA,NA
"301",27,7,0,2,16,14,5,44,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,1,3,4,2,2,1,1,4,2,NA,NA,NA,NA
"302",27,7,0,2,16,1,6,45,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,3,6,6,4,5,1,1,2,2,NA,NA,NA,NA
"303",27,7,0,2,16,4,7,46,1,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,1,8,7,6,6,4,4,6,5,2,NA,NA,NA,NA
"304",27,7,0,2,16,11,8,47,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,1,4,5,4,4,4,3,5,2,NA,NA,NA,NA
"305",27,7,0,2,16,15,9,48,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,4,6,4,5,6,7,3,1,2,NA,NA,NA,NA
"306",27,7,0,2,16,2,10,49,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,4,5,4,5,6,6,2,3,2,NA,NA,NA,NA
"307",27,7,0,2,16,3,11,50,1,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,1,6,5,6,7,8,4,4,4,2,NA,NA,NA,NA
"308",27,7,0,2,16,12,12,51,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,1,2,6,1,6,2,2,3,2,NA,NA,NA,NA
"309",27,7,0,2,16,13,13,52,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,1,3,7,1,4,2,1,3,2,NA,NA,NA,NA
"310",27,7,0,2,16,8,14,53,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,6,4,8,3,8,2,3,3,2,NA,NA,NA,NA
"311",27,7,0,2,16,9,15,54,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,2,4,7,3,6,2,1,2,2,NA,NA,NA,NA
"312",27,7,0,2,16,16,16,55,0,0,22,3,3,1,5,1,6,2,9,5,4,17,10,18,20,25,10,0,5,6,6,4,3,4,4,1,2,NA,NA,NA,NA
"313",28,8,0,2,16,3,1,40,0,0,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,3,6,6,6,5,2,2,4,2,NA,NA,NA,NA
"314",28,8,0,2,16,4,2,41,0,0,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,2,6,5,4,5,2,2,2,2,NA,NA,NA,NA
"315",28,8,0,2,16,5,3,42,0,0,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,3,5,8,5,8,3,3,3,2,NA,NA,NA,NA
"316",28,8,0,2,16,8,4,43,0,1,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,4,6,5,4,4,3,3,4.5,2,NA,NA,NA,NA
"317",28,8,0,2,16,12,5,44,0,1,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,4,6,7,4,5,2,2,4,2,NA,NA,NA,NA
"318",28,8,0,2,16,15,6,45,0,1,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,4,6,5,3,3,3,3,3,2,NA,NA,NA,NA
"319",28,8,0,2,16,2,7,46,1,1,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,1,7,8,8,8,5,9,7.5,6.5,2,NA,NA,NA,NA
"320",28,8,0,2,16,9,8,47,0,1,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,4,6,6,5,4,3,2,5,2,NA,NA,NA,NA
"321",28,8,0,2,16,13,9,48,0,1,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,6,6,5,6,4,4,4,4,2,NA,NA,NA,NA
"322",28,8,0,2,16,16,10,49,0,0,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,3,5,7,5.5,5,4,4,3,2,NA,NA,NA,NA
"323",28,8,0,2,16,1,11,50,0,0,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,5,8,9,5,8,6,3,5,2,NA,NA,NA,NA
"324",28,8,0,2,16,10,12,51,0,1,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,1,5,4.5,6,4,5.5,6,4.5,4.5,2,NA,NA,NA,NA
"325",28,8,0,2,16,11,13,52,0,1,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,6,7,7,7,7,6,6,5,0,NA,NA,NA,NA
"326",28,8,0,2,16,6,14,53,0,1,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,1,6,6,7,5,6,7,8,5.5,2,NA,NA,NA,NA
"327",28,8,0,2,16,7,15,54,0,1,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,4,5,6.5,5,5,6,4,4,2,NA,NA,NA,NA
"328",28,8,0,2,16,14,16,55,0,0,26,3,2,3,3,2,5,2,6,6,4,20,18.18,20,18,10,10.64,0,4,6,6,5,6,6,4,4,2,NA,NA,NA,NA
"329",29,9,0,2,16,10,1,40,0,0,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,0,4,9,4,4,5,6,5,4,2,0,1,0,NA
"330",29,9,0,2,16,11,2,41,0,0,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,0,4,8,6,3,6,6,4,4,2,0,1,0,NA
"331",29,9,0,2,16,12,3,42,0,0,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,0,6,8,7,5,5,6,6,3,2,0,1,0,NA
"332",29,9,0,2,16,15,4,43,0,1,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,0,5,7,5,3,5,6,5,4,0,0,1,0,NA
"333",29,9,0,2,16,3,5,44,1,1,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,1,8,6,7,3,7,2,6,4,2,0,1,0,NA
"334",29,9,0,2,16,6,6,45,1,1,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,1,6,8,7,4,7,2,6,4,2,0,1,0,NA
"335",29,9,0,2,16,9,7,46,0,1,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,1,8,6,6,5,7,6,7,4,2,0,1,0,NA
"336",29,9,0,2,16,16,8,47,0,1,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,0,5,6,6,7,6,6,6,4,2,0,1,0,NA
"337",29,9,0,2,16,4,9,48,0,1,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,1,8,7,8,8,8,6,8,5,2,0,1,0,NA
"338",29,9,0,2,16,7,10,49,0,0,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,0,7,5,6,8,6,4,5,6,2,0,1,0,NA
"339",29,9,0,2,16,8,11,50,0,0,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,1,7,7,7,7,7,6,7,5,2,0,1,0,NA
"340",29,9,0,2,16,1,12,51,0,1,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,1,6,7,7,4,6,6,6,5,2,0,1,0,NA
"341",29,9,0,2,16,2,13,52,0,1,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,1,6,8,8,5,7,5,8,7,2,0,1,0,NA
"342",29,9,0,2,16,13,14,53,0,1,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,1,9,8,8,5,7,6,8,5,2,0,1,0,NA
"343",29,9,0,2,16,14,15,54,0,1,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,0,6,7,6,4,6,5,6,4,0,0,1,0,NA
"344",29,9,0,2,16,5,16,55,0,0,22,11,2,4,5,1,6,1,9,7,4,20,22,18,15,15,10,1,6,8,7,6,5,3,6,6,2,0,1,0,NA
"345",30,10,0,2,16,16,1,40,0,0,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,0,3,6,6,5,6,5,6,5,2,NA,NA,NA,NA
"346",30,10,0,2,16,1,2,41,0,0,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,0,8,9,8,5,9,5,8,5,2,NA,NA,NA,NA
"347",30,10,0,2,16,2,3,42,0,0,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,0,6,7,8,7,8,7,8,6,2,NA,NA,NA,NA
"348",30,10,0,2,16,5,4,43,0,1,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,0,4,6,6,5,7,6,6,5,2,NA,NA,NA,NA
"349",30,10,0,2,16,9,5,44,0,1,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,0,6,9,7,5,6,3,7,4,2,NA,NA,NA,NA
"350",30,10,0,2,16,12,6,45,0,1,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,0,4,5,5,2,6,5,4,3,2,NA,NA,NA,NA
"351",30,10,0,2,16,15,7,46,0,1,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,0,8,7,7,7,5,5,7,6,2,NA,NA,NA,NA
"352",30,10,0,2,16,6,8,47,0,1,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,0,5,5,5,7,7,6,8,6,2,NA,NA,NA,NA
"353",30,10,0,2,16,10,9,48,0,1,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,0,7,7,5,7,5,7,8,7,2,NA,NA,NA,NA
"354",30,10,0,2,16,13,10,49,1,0,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,1,8,7,7,7,7,7,9,7,1,NA,NA,NA,NA
"355",30,10,0,2,16,14,11,50,0,0,23,1,2,2,4,1,7,2,1,3,2,10,20,20,20,20,10,1,7,7,8,8,7,7,8,4,2,NA,NA,NA,NA
